official_name_en,country_name,ISO3166-1-Alpha-3
Afghanistan,Afghánská islámská republika,AFG
Armenia,Arménská republika,ARM
Azerbaijan,Ázerbájdžánská republika,AZE
Belarus,Běloruská republika,BLR
Bulgaria,Bulharská republika,BGR
Croatia,Chorvatská republika,HRV
Czechia,Česká republika,CZE
Egypt,Egyptská arabská republika,EGY
Germany,Spolková republika Německo,DEU
Hungary,Maďarsko,HUN
Indonesia,Indonéská republika,IDN
Iran (Islamic Republic of),Íránská islámská republika,IRN
Israel,Stát Izrael,ISR
Kazakhstan,Republika Kazachstán,KAZ
Kyrgyzstan,Kyrgyzská republika,KGZ
Lebanon,Libanonská republika,LBN
Namibia,Namibijská republika,NAM
Peru,Peruánská republika,PER
Republic of Korea,Korejská republika,KOR
Republic of Moldova,Moldavská republika,MDA
Russian Federation,Ruská federace,RUS
Slovakia,Slovenská republika,SVK
Ukraine,Ukrajina,UKR
Uzbekistan,Republika Uzbekistán,UZB
Viet Nam,Vietnamská socialistická republika,VNM
Yemen,Jemenská republika,YEM
